zone,erate_cmperkyr,error_newcode,my_erate,error_myerate,erate_cosmocalc,error_cosmocalc,erate_cronus,error_cronus,elevation,relief
65,6.3389,0.00332339,105,9,6.33891,0.00332339,76.69,11.6,2715,325
65,3.63102,0.00193764,52,5,3.63105,0.00193764,43.63,7.32,2593,856.967
65,2.21552,0.00117675,28,3,2.21553,0.00117675,26.38,4.32,2753,556.991
65,2.13162,0.00109023,30,2,2.13162,0.00109023,25.37,3.01,2758,370
65,9.48547,0.00527275,142,18,9.48547,0.00527275,112.64,25.12,3365,130
65,13.3903,0.00802243,222,33,13.3903,0.00802243,162.08,44.04,3001,86
65,14.7548,0.00772431,179,16,14.7556,0.00772431,178.77,28.22,2283,1452
65,19.5,0.010423,229,26,19.5009,0.010423,230.16,45.35,2194,2473.99
65,16.3012,0.00877834,318,32,16.3021,0.00877834,196.95,36.99,2380,1379
65,14.1103,0.00769093,219,22,14.1111,0.00769093,177.29,29.03,2524,351
65,15.5711,0.00868185,216,20,15.5714,0.00868185,191.45,39.44,2539,497
65,24.7626,0.0141585,399,53,24.7631,0.0141585,314.53,64.96,2109,421
65,5.44358,0.00292968,77,8,5.44358,0.00292968,65.67,11.72,2842,151
65,1.91063,0.000978068,28,2,1.91063,0.000978068,22.67,2.73,2866,198
65,4.2116,0.00226223,61,6,4.21165,0.00226223,50.61,8.92,2534,803
65,2.09451,0.0010916,27,2,2.09457,0.0010916,24.94,3.57,2248,1801.93
65,1.0431,0.000534486,152,19,1.0431,0.000534486,12.38,1.11,2771,162
65,3.88116,0.00208138,61,6,3.88129,0.00208138,46.58,8.21,2258,1825.91
65,8.66105,0.00434417,118,9,8.66106,0.00434417,102.19,13.45,3202,286
65,2.2726,0.00118694,30,3,2.27262,0.00118694,26.84,4.16,2794,789.956
65,6.0416,0.00338918,88,11,6.04163,0.00338918,72.08,16.14,2756,814
65,0.261201,0.000142941,3.4,0.3,0.261204,0.000142941,3.02,0.4,2306,1759.85
65,9.88315,0.00512551,124,11,9.88332,0.00512551,118.37,18.43,2337,474
65,3.86924,0.00219242,57,7,3.86934,0.00219242,46.09,10.54,2585,1215
66,2.1904,0.00105905,25.41,2.23,2.19043,0.00105905,24.2,3,3694,2022
66,1.41607,0.000689284,17.72,1.57,1.41609,0.000689284,15.6,1.93,3805,1908
66,2.0956,0.00101387,25.91,2.27,2.09563,0.00101387,23.28,2.81,3724,1913
66,2.00286,0.00097255,24.02,2.11,2.0029,0.00097255,22.21,2.78,3480,2435
66,2.50288,0.00120699,28.97,2.54,2.50292,0.00120699,27.35,3.42,3555,2520.99
66,3.02043,0.00145502,35.12,3.06,3.0205,0.00145502,33.3,4.09,3607,2355.99
66,7.95011,0.00384047,90.67,8.42,7.95033,0.00384047,88.42,11.52,3393,2470
66,6.53935,0.00312804,70.76,6.15,6.53952,0.00312804,72.6,8.57,3487,2431
66,4.36781,0.00210748,69.38,6.04,4.36786,0.00210748,49,5.63,3680,782
66,7.50629,0.00359325,80.63,6.96,7.50644,0.00359325,83.24,10.13,3722,2328
66,6.06447,0.00291305,70.11,6.2,6.06464,0.00291305,67.5,8.09,3214,2857.99
66,3.44809,0.00168343,63.43,5.51,3.44813,0.00168343,38.94,4.52,3144,250
66,6.66948,0.00320709,77.99,6.92,6.66969,0.00320709,74.11,9.1,3098,2371.99
66,9.5386,0.00471427,113.85,10.81,9.53894,0.00471427,107.41,16.33,3080,2643
66,9.31135,0.00466778,107.26,10.59,9.31168,0.00466778,105.03,17.03,2937,2473
49,63.5208,0.0320616,550,40,63.5429,0.0320616,769.35,90.09,791,5462.97
49,18.311,0.00915205,160,10,18.317,0.00915205,220.59,22.7,965,5414.64
49,11.9411,0.00614727,150,10,11.9425,0.00614727,146,13.94,958,1966.95
49,10.478,0.00540818,130,10,10.4788,0.00540818,128.31,12.93,1156,1990.93
49,6.18231,0.00320864,80,10,6.1828,0.00320864,75.34,7.64,1206,1203
49,41.8092,0.0202754,320,20,41.8161,0.0202754,482.72,51.34,1463,4826.95
49,76.8419,0.0388672,1170,90,76.8426,0.0388672,940.28,92.63,1557,481
49,459.956,0.225168,4590,390,459.998,0.225168,5307.12,674.32,2061,3352
49,11.9709,0.00629103,150,10,11.9717,0.00629103,148.64,15.78,1129,1162.99
49,43.5229,0.0220498,530,40,43.5314,0.0220498,526.48,55.67,1155,2431.99
49,178.347,0.0867206,1810,140,178.377,0.0867206,2039.03,231.41,1284,4120.99
49,170.478,0.081457,1410,110,170.492,0.081457,1919.2,207.21,2092,3719
49,283.279,0.135609,1970,160,283.301,0.135609,3209.86,369.89,2054,4300.93
49,110.367,0.0537543,1140,90,110.391,0.0537543,1294.91,131.5,1205,5064
49,28.0319,0.0139336,310,20,28.0405,0.0139336,336.2,36.15,963,5303.94
